Activity name ,Start,Duration,finish ,activity ,Description
MBL-PBU-001,10/24/22,22,11/14/22,Construct,Plumbing UG Phase 1
MBL-PBU-002,11/16/22,31,12/16/22,Construct,Plumbing UG Phase 2
MBL-PBU-003,12/12/22,19,12/30/22,Construct,Plumbing UG Phase 3
MBL-PBU-004,01/03/23,14,01/16/23,Construct,Plumbing UG Phase 4
MBL-PBU-005,01/17/23,14,01/30/23,Construct,Plumbing UG Phase 5
MBL-SUG-001,10/17/22,10,10/27/22,Construct,Area A Spread Footing
MBL-SUG-002,11/07/22,13,11/20/22,Construct,Area F Spread Footing
MBL-SUG-003,11/10/22,12,11/22/22,Construct,Area B of Spread Footing
MBL-SUG-004,12/30/22,8,01/07/23,Construct,Area G of Spread Footing
MBL-SUG-005,01/09/23,10,01/19/23,Construct,Area C of Spread Footing
MBL-SUG-006,01/24/23,7,01/31/23,Construct,Area H of Spead Footing
MBL-SUG-007,02/15/23,10,02/25/23,Construct,Area D of Spead Footing
MBL-SUG-008,02/26/23,7,03/05/23,Construct,Area I of Spead Footing
MBL-SUG-009,03/17/23,8,03/25/23,Construct,Area E of Spead Footing
MBL-SUG-010,04/01/23,10,04/11/23,Construct,Area J of Spead Footing
MBL-SLG-001,12/02/22,3,12/05/22,Construct,Slab on Grade Pour 1
MBL-SLG-002,12/05/22,3,12/08/22,Construct,Slab on Grade Pour 2
MBL-SLG-003,12/06/22,3,12/09/22,Construct,Slab on Grade Pour 3
MBL-SLG-004,12/07/22,3,12/10/22,Construct,Slab on Grade Pour 4
MBL-SLG-005,12/08/22,3,12/11/22,Construct,Slab on Grade Pour 5
MBL-SLG-006,12/09/22,3,12/12/22,Construct,Slab on Grade Pour 6
MBL-SLG-007,12/16/22,3,12/19/22,Construct,Slab on Grade Pour 7
MBL-SLG-008,12/27/22,3,12/30/22,Construct,Slab on Grade Pour 8
MBL-SLG-009,12/28/22,3,12/31/22,Construct,Slab on Grade Pour 9
MBL-SLG-010,12/29/22,3,01/01/23,Construct,Slab on Grade Pour 10
MBL-SLG-011,01/05/23,3,01/08/23,Construct,Slab on Grade Pour 11
MBL-SLG-012,01/06/23,3,01/09/23,Construct,Slab on Grade Pour 12
MBL-SLG-013,01/09/23,3,01/12/23,Construct,Slab on Grade Pour 13
MBL-SLG-014,01/11/23,3,01/14/23,Construct,Slab on Grade Pour 14
MBL-SLG-015,01/12/23,3,01/15/23,Construct,Slab on Grade Pour 15
MBL-SLG-016,01/13/23,3,01/16/23,Construct,Slab on Grade Pour 16
MBL-SLG-017,01/15/23,3,01/18/23,Construct,Slab on Grade Pour 17
MBL-SLG-018,01/16/23,3,01/19/23,Construct,Slab on Grade Pour 18
MBL-SLG-019,01/18/23,3,01/21/23,Construct,Slab on Grade Pour 19
MBL-SLG-020,01/20/23,3,01/23/23,Construct,Slab on Grade Pour 20
MBL-WPN-001,12/30/22,2,01/01/23,Construct,Panel Pour 1
MBL-WPN-002,01/04/23,2,01/06/23,Construct,Panel Pour 2
MBL-WPN-003,01/09/23,2,01/11/23,Construct,Panel Pour 3
MBL-WPN-004,01/12/23,2,01/14/23,Construct,Panel Pour 4
MBL-WPN-005,01/16/23,2,01/18/23,Construct,Panel Pour 5
MBL-WPN-006,01/19/23,2,01/21/23,Construct,Panel Pour 6
MBL-WPN-007,01/23/23,2,01/25/23,Construct,Panel Pour 7
MBL-WPN-008,01/26/23,2,01/28/23,Construct,Panel Pour 8
MBL-WPN-009,01/30/23,2,02/01/23,Construct,Panel Pour 9
MBL-WPN-010,02/02/23,2,02/04/23,Construct,Panel Pour 10
MBL-WPN-011,02/06/23,2,02/08/23,Construct,Panel Pour 11
MBL-WPN-012,02/09/23,2,02/11/23,Construct,Panel Pour 12
MBL-WPN-013,02/13/23,2,02/15/23,Construct,Panel Pour 13
MBL-WPN-014,02/16/23,2,02/18/23,Construct,Panel Pour 14
MBL-WPN-015,02/20/23,2,02/22/23,Construct,Panel Pour 15
MBL-WPN-016,02/23/23,2,02/25/23,Construct,Panel Pour 16
MBL-WPN-017,02/27/23,2,03/01/23,Construct,Panel Pour 17
MBL-WPN-018,03/03/23,2,03/05/23,Construct,Panel Pour 18
MBL-SST-001,02/07/23,15,02/21/23,Construct,Sequence 1 of Erect Steel
MBL-SST-002,02/22/23,14,03/07/23,Construct,Sequence 2 of Erect Steel 
MBL-SST-003,03/08/23,14,03/21/23,Construct,Sequence 3 of Erect Steel 
MBL-SST-004,03/22/23,8,03/29/23,Construct,Sequence 4 of Erect Steel 
MBL-SST-005,03/30/23,14,04/12/23,Construct,Sequence 5 of Erect Steel 
MBL-SST-006,04/13/23,8,04/20/23,Construct,Sequence 6 of Erect Steel
MBL-SST-007,04/25/23,26,05/21/23,Construct,Sequence 7 of Structural
MBL-SST-008,05/20/23,33,06/22/23,Construct,Sequence 8 of Structural
MBL-SST-009,05/26/23,35,06/30/23,Construct,Sequence 9 of Structural
MBL-ROF-001,03/22/23,14,04/04/23,Construct,Area 1 Install Roofing (25K SF/Day)
MBL-ROF-002,04/05/23,14,04/18/23,Construct,Area 2 Install Roofing (25K SF/Day)
MBL-ROF-003,04/19/23,14,05/02/23,Construct,Area 3 Install Roofing (25K SF/Day)
MBL-ROF-004,05/03/23,14,05/16/23,Construct,Area 4 Install Roofing (25K SF/Day)